TimeMicros;AckRecieved;CurrentWidow_Bytes;Difference_Micros;MinDelay_Micros;OurDelay_Micros;Their_Difference_Micros;Their_MinDelay_Micros;Their_Delay_Micros;OffTarget_Micros;DelayFactor;WindowFactor;Gain_Bytes;PacketRtt_Millis;RttVar_Millis;Rtt_Millis;AdvertisedWindow_Bytes;MaxWindow_Bytes;BytesSend;SACK
658564;86;2944;12250;12170;80;-11886;-11975;89;99920;0.9992;0.07473978167047474;224;0;13;7;2942528;19919;120476
674288;88;2944;12311;12170;141;-11833;-11975;142;99859;0.99859;0.07389929213313921;221;0;12;7;2942528;20140;123380
689483;90;2944;12291;12170;121;-11856;-11975;119;99879;0.99879;0.07308838133068521;218;0;11;7;2942528;20358;126284
704902;92;2944;12243;12170;73;-11927;-11975;48;99927;0.99927;0.07230572747814128;216;0;10;7;2942528;20574;129188
720306;94;2944;12202;12170;32;-11966;-11975;9;99968;0.99968;0.07154661222902693;214;0;10;7;2942528;20788;132092
736178;96;2944;12223;12170;53;-11919;-11975;56;99947;0.99947;0.07081008274004233;212;0;10;7;2942528;21000;134996
751788;98;2944;12208;12170;38;-11962;-11975;13;99962;0.99962;0.0700952380952381;210;0;10;7;2942528;21210;137900
768227;100;2944;12451;12170;281;-11709;-11975;266;99719;0.99719;0.0694012258368694;207;1;9;7;2942528;21417;140804
783825;102;2944;12421;12170;251;-11705;-11975;270;99749;0.99749;0.0687304477751319;205;1;9;7;2942528;21622;143708
798632;104;2944;12227;12170;57;-11925;-11975;50;99943;0.99943;0.06807880862084914;204;0;9;7;2942528;21826;146612
814369;106;2944;12227;12170;57;-11869;-11975;106;99943;0.99943;0.06744249977091542;202;0;9;7;2942528;22028;149516
830032;108;2944;12225;12170;55;-11883;-11975;92;99945;0.99945;0.06682404212820048;200;0;9;7;2942528;22228;152420
846154;110;2944;12322;12170;152;-11840;-11975;135;99848;0.99848;0.06622278207666007;198;0;9;7;2942528;22426;155324
862523;112;2944;12365;12170;195;-11811;-11975;164;99805;0.99805;0.06563809863551236;196;1;9;7;2942528;22622;158228
877981;114;2944;12405;12170;235;-11838;-11975;137;99765;0.99765;0.06506940146759792;194;0;9;7;2942528;22816;161132
893605;116;2944;12382;12170;212;-11814;-11975;161;99788;0.99788;0.06451612903225806;193;0;9;7;2942528;23009;164036
909690;118;2944;12396;12170;226;-11714;-11975;261;99774;0.99774;0.06397496631752793;191;0;9;7;2942528;23200;166940
925368;120;2944;12369;12170;199;-11803;-11975;172;99801;0.99801;0.06344827586206897;189;0;9;7;2942528;23389;169844
940715;122;2944;12462;12170;292;-11872;-11975;103;99708;0.99708;0.06293556800205224;188;0;9;7;2942528;23577;172748
956697;124;2944;12574;12170;404;-11865;-11975;110;99596;0.99596;0.06243372778555372;186;0;9;7;2942528;23763;175652
971847;126;2944;12300;12170;130;-11929;-11975;46;99870;0.9987;0.061945040609350674;185;0;9;7;2942528;23948;178556
987603;128;2944;12233;12170;63;-11932;-11975;43;99937;0.99937;0.06146651077334224;184;0;9;7;2942528;24132;181460
1003321;130;2944;12217;12170;47;-11906;-11975;69;99953;0.99953;0.06099784518481684;182;0;9;7;2942528;24314;184364
1018494;132;2944;12180;12170;10;-11951;-11975;24;99990;0.9999;0.060541251953606975;181;0;9;7;2942528;24495;187268
1034271;134;2944;12216;12170;46;-11883;-11975;92;99954;0.99954;0.06009389671361502;180;0;9;7;2942528;24675;190172
1050251;136;2944;12254;12170;84;-11892;-11975;83;99916;0.99916;0.059655521783181356;178;0;9;7;2942528;24853;193076
1066083;138;2944;12216;12170;46;-11917;-11975;58;99954;0.99954;0.05922826218162797;177;0;9;7;2942528;25030;195980
1081687;140;2944;12236;12170;66;-11902;-11975;73;99934;0.99934;0.05880942868557731;176;0;9;7;2942528;25206;198884
1097452;142;2944;12233;12170;63;-11904;-11975;71;99937;0.99937;0.058398793937951284;175;0;9;7;2942528;25381;201788
1113439;144;2944;12371;12170;201;-11890;-11975;85;99799;0.99799;0.05799613884401718;173;0;9;7;2942528;25554;204692
1128921;146;2944;12288;12170;118;-11889;-11975;86;99882;0.99882;0.0576035063003835;172;0;9;7;2942528;25726;207596
1144557;148;2944;12305;12170;135;-11871;-11975;104;99865;0.99865;0.05721837829433258;171;0;9;7;2942528;25897;210500
1160795;150;2944;12460;12170;290;-11850;-11975;125;99710;0.9971;0.05684056068270456;170;0;9;7;2942528;26067;213404
1176484;152;2944;12403;12170;233;-11823;-11975;152;99767;0.99767;0.056469866114244066;169;0;9;7;2942528;26236;216308
1191493;154;2944;12328;12170;158;-11892;-11975;83;99842;0.99842;0.05610611373685013;168;0;9;7;2942528;26404;219212
1206787;156;2944;12322;12170;152;-11944;-11975;31;99848;0.99848;0.05574912891986063;166;0;9;7;2942528;26570;222116
1222307;158;2944;12209;12170;39;-11963;-11975;12;99961;0.99961;0.055400828001505455;166;0;9;7;2942528;26736;225020
1237893;160;2944;12189;12170;19;-11963;-11975;12;99981;0.99981;0.05505685218432076;165;0;9;7;2942528;26901;227924
1253751;162;2944;12204;12170;34;-11959;-11975;16;99966;0.99966;0.05471915542173154;164;0;9;7;2942528;27065;230828
1269417;164;2944;12219;12170;49;-11902;-11975;73;99951;0.99951;0.054387585442453354;163;0;9;7;2942528;27228;233732
